年,月,日,気温,降水量,日射量,風速,気圧,湿度,雲量
2018,4,7,16.2,0.0,9.12,4.1,995.6,62,9.5
2018,4,8,11.9,0.0,20.22,2.0,1008.5,43,2.5
2018,4,9,13.7,0,24.22,3.7,1012.3,42,2.5
2018,4,10,13.6,0,24.67,3.3,1018.7,52,2.3
2018,4,11,17.6,0.0,16.72,6.5,1009.5,65,9.5
2018,4,12,19.1,0,20.32,2.4,1006.4,58,9.8
2018,4,13,15.5,0,25.23,3.9,1017.2,34,0.5
2018,4,14,15.2,0.0,8.82,4.0,1015.5,67,9.5
2018,4,15,17.9,19.0,6.33,4.8,997.1,75,10.0
2018,4,16,14.7,0,17.27,3.7,1012.7,48,10.0
2018,4,17,12.7,2.5,4.42,2.3,1021.3,81,10.0
2018,4,18,12.7,28.0,6.57,2.3,1013.4,94,7.8
2018,4,19,16.2,0,22.94,3.3,1013.5,77,2.0
2018,4,20,18.7,0,25.15,3.0,1014.8,61,2.5
2018,4,21,18.9,0,25.80,2.8,1016.8,65,0.0
2018,4,22,20.5,0,25.50,2.1,1014.4,67,1.5
2018,4,23,16.5,0.0,6.17,3.0,1017.7,80,9.3
2018,4,24,18.0,1.5,6.79,3.3,1010.9,84,10.0
2018,4,25,19.0,57.0,8.52,3.5,998.6,95,10.0
2018,4,26,18.9,0.0,25.95,3.9,1006.9,55,7.8
2018,4,27,18.5,0,13.57,2.9,1006.9,70,9.5
2018,4,28,20.1,0,27.31,4.4,1009.8,51,0.0
2018,4,29,20.1,0,26.17,4.4,1014.1,66,0.0
2018,4,30,20.8,0,22.81,4.5,1012.9,65,6.3
2018,5,1,22.3,0,25.73,2.9,1012.6,59,4.8
2018,5,2,20.4,3.5,14.70,3.2,1009.7,79,10.0
2018,5,3,21.9,14.0,12.59,6.2,996.7,77,10.0
2018,5,4,18.0,0.0,27.13,3.8,1004.5,55,3.5
2018,5,5,18.3,0,27.54,3.3,1011.4,53,1.8
2018,5,6,21.0,0.0,24.88,4.5,1009.5,55,9.8
2018,5,7,17.9,21.0,7.91,4.3,1004.0,83,10.0
2018,5,8,12.9,10.5,2.45,3.1,1010.6,92,10.0
2018,5,9,12.1,35.0,6.61,2.9,1013.0,90,10.0
2018,5,10,12.1,9.0,9.88,1.8,1015.1,84,6.3
2018,5,11,16.4,0,26.73,3.7,1015.4,64,7.3
2018,5,12,18.8,0,22.85,2.8,1012.8,73,6.5
2018,5,13,17.9,49.0,6.62,3.4,1007.2,85,10.0
2018,5,14,21.1,0.0,27.55,2.9,1003.3,55,3.0
2018,5,15,22.3,0,27.43,3.6,1009.2,57,2.0
2018,5,16,23.5,0,26.06,4.3,1008.2,59,5.8
2018,5,17,24.0,0.0,19.55,3.7,1003.9,71,9.0
2018,5,18,23.4,0,24.21,3.0,1002.4,82,7.8
2018,5,19,21.5,0.0,13.61,3.9,1000.4,70,7.5
2018,5,20,16.8,0,27.97,3.5,1015.3,51,4.3
2018,5,21,20.3,0,26.79,2.4,1017.0,48,10.0
2018,5,22,21.0,0,28.67,3.1,1015.6,55,0.3
2018,5,23,18.6,9.0,9.07,2.3,1007.4,85,10.0
2018,5,24,20.7,6.0,21.03,2.8,1001.6,82,6.0
2018,5,25,22.8,0,21.71,3.7,1003.8,72,8.3
2018,5,26,21.4,0,16.12,2.7,1006.6,63,9.8
2018,5,27,21.3,0,26.61,2.9,1008.1,72,3.3
2018,5,28,21.6,0,10.12,2.5,1010.4,76,10.0
2018,5,29,23.0,0,18.24,3.2,1012.2,73,10.0
2018,5,30,21.1,8.5,9.72,2.6,1010.7,86,10.0
2018,5,31,19.5,0.0,8.09,2.4,1003.5,87,10.0
2018,6,1,21.7,0.0,25.58,3.4,1007.5,57,8.0
2018,6,2,21.9,0,25.67,2.4,1013.0,65,3.8
2018,6,3,22.5,0,25.06,2.8,1013.9,68,4.3
2018,6,4,23.5,0,29.70,2.8,1012.8,64,3.0
2018,6,5,23.2,0.0,18.92,2.3,1011.8,69,7.5
2018,6,6,20.3,12.5,6.08,1.7,1010.3,92,10.0
2018,6,7,22.2,1.5,22.77,2.6,1010.3,81,7.8
2018,6,8,23.7,1.0,21.33,4.0,1005.1,79,7.3
2018,6,9,25.7,0.0,23.16,2.7,1001.2,74,8.8
2018,6,10,20.0,31.0,2.09,3.0,1006.8,91,10.0
2018,6,11,18.9,50.0,3.12,2.9,994.7,99,10.0
2018,6,12,20.5,0.0,11.93,2.2,993.0,91,10.0
2018,6,13,21.5,0,21.20,2.7,1000.2,77,8.0
2018,6,14,20.6,0.0,15.02,3.4,1007.2,72,10.0
2018,6,15,17.6,9.5,2.81,3.2,1006.7,93,10.0
2018,6,16,15.9,3.0,6.84,2.8,1010.4,86,10.0
2018,6,17,18.7,0.0,13.97,2.3,1013.2,77,10.0
2018,6,18,19.4,2.0,4.16,1.9,1009.5,93,10.0
2018,6,19,22.7,0.0,23.38,3.0,1006.4,77,9.8
2018,6,20,20.8,24.5,3.72,2.7,1001.5,98,10.0
2018,6,21,21.2,2.0,8.08,2.0,999.4,95,9.5
2018,6,22,23.1,0,22.93,2.7,1004.6,79,7.3
2018,6,23,20.6,16.0,4.81,1.7,1003.8,95,10.0
2018,6,24,21.3,2.5,13.81,2.1,1002.5,91,10.0
2018,6,25,26.2,0,27.67,2.4,1008.3,71,2.8
2018,6,26,25.7,0,25.44,3.6,1011.0,75,7.5
2018,6,27,27.7,0.0,23.27,7.0,1003.1,71,9.0
2018,6,28,27.4,0.0,17.49,6.0,1003.1,77,8.0
2018,6,29,28.2,0,28.39,6.9,1008.3,73,4.0
2018,6,30,28.6,0,28.51,5.8,1014.0,74,6.0
2018,7,1,28.1,0,28.19,5.1,1015.4,75,1.5
2018,7,2,28.8,0,29.11,3.7,1011.3,70,0.0
2018,7,3,28.4,0,26.29,5.0,1006.0,69,7.8
2018,7,4,27.6,0.0,15.68,6.6,1001.6,75,10.0
2018,7,5,26.7,2.0,6.96,6.9,1001.9,79,10.0
2018,7,6,21.7,28.5,2.93,3.1,1007.7,99,10.0
2018,7,7,25.0,0.0,16.16,3.8,1009.9,86,10.0
2018,7,8,27.4,0,21.06,3.9,1012.9,79,10.0
2018,7,9,27.3,3.5,18.22,3.2,1015.9,86,7.8
2018,7,10,28.5,0,27.49,3.7,1015.0,78,6.0
2018,7,11,29.0,0.0,18.38,2.1,1011.6,75,10.0
2018,7,12,26.6,3.5,14.83,2.6,1010.2,83,10.0
2018,7,13,29.1,0,22.77,2.7,1006.8,75,8.5
2018,7,14,30.1,0,22.12,2.8,1007.6,70,7.0
2018,7,15,29.7,0,26.36,3.2,1009.0,78,3.0
2018,7,16,29.9,0,24.03,3.0,1008.7,78,9.8
2018,7,17,29.9,0,24.60,3.4,1008.0,78,10.0
2018,7,18,30.5,0,24.65,3.0,1007.2,75,5.3
2018,7,19,29.9,0,26.92,3.6,1007.6,78,7.3
2018,7,20,29.9,0,26.63,4.4,1008.3,75,3.5
2018,7,21,30.5,0,25.65,3.2,1007.7,72,6.5
2018,7,22,31.0,0,21.38,2.4,1005.5,73,8.3
2018,7,23,32.2,0,21.30,2.9,1002.7,59,7.5
2018,7,24,29.8,2.5,21.64,2.8,1003.7,76,6.3
2018,7,25,28.1,0.0,12.89,3.0,1006.3,81,10.0
2018,7,26,26.5,0.0,14.88,2.9,1007.1,68,9.8
2018,7,27,25.4,0.0,14.22,3.1,1006.3,69,9.5
2018,7,28,24.0,52.0,5.51,4.2,1000.1,96,10.0
2018,7,29,27.9,15.0,19.45,3.6,1002.8,85,9.0
2018,7,30,28.0,0.0,13.72,2.6,1006.1,82,8.8
2018,7,31,28.4,0,19.07,2.6,1003.6,79,4.5
2018,8,1,30.3,0,25.64,2.6,1000.6,73,1.8
2018,8,2,31.2,0.0,21.90,2.5,1002.0,70,6.5
2018,8,3,30.5,0.0,16.98,2.6,1003.3,74,6.0
2018,8,4,29.8,0,24.34,2.8,1004.3,72,7.3
2018,8,5,30.4,0,24.09,3.3,1001.6,77,4.5
2018,8,6,28.7,0.0,18.89,3.0,1001.5,80,10.0
2018,8,7,22.2,4.5,3.55,3.3,1005.2,93,10.0
2018,8,8,23.6,41.0,5.41,3.9,997.6,95,10.0
2018,8,9,27.4,4.0,8.98,5.0,994.2,85,8.3
2018,8,10,29.8,0,23.20,3.8,998.8,76,5.8
2018,8,11,28.7,0.5,17.27,2.3,1001.8,85,9.5
2018,8,12,27.7,0.0,9.54,2.2,1007.2,85,10.0
2018,8,13,27.5,10.5,14.34,2.0,1008.8,91,10.0
2018,8,14,28.8,0,23.67,3.8,1010.2,79,6.0
2018,8,15,29.7,0,23.71,5.8,1010.1,72,9.5
2018,8,16,29.1,0.0,18.08,5.9,1003.4,72,9.0
2018,8,17,26.3,0.0,25.81,5.5,1004.9,44,4.0
2018,8,18,22.7,0,24.95,2.9,1010.4,57,7.8
2018,8,19,23.6,0,21.69,2.5,1012.0,66,7.8
2018,8,20,24.7,0.0,11.02,1.7,1010.8,74,10.0
2018,8,21,28.2,0.0,21.55,3.5,1009.5,80,6.0
2018,8,22,29.7,0.0,24.87,4.9,1010.9,75,2.8
2018,8,23,29.4,0.0,18.11,4.8,1011.4,78,8.5
2018,8,24,28.2,7.5,11.57,7.4,1007.1,84,10.0
2018,8,25,31.1,0,24.52,4.3,1006.7,70,5.5
2018,8,26,31.0,0,23.77,2.1,1007.5,72,3.5
2018,8,27,29.4,16.0,22.60,2.9,1008.9,74,4.5
2018,8,28,26.6,1.0,12.91,2.3,1009.4,84,10.0
2018,8,29,26.1,0.5,5.97,2.4,1010.1,86,10.0
2018,8,30,28.8,0.0,19.10,2.9,1008.2,77,9.3
2018,8,31,28.7,1.0,21.18,2.5,1005.3,77,9.3
2018,9,1,25.9,6.0,9.61,2.5,1006.0,86,8.5
2018,9,2,22.1,7.5,4.26,2.0,1010.9,95,10.0
2018,9,3,23.6,4.0,6.02,1.8,1008.8,95,10.0
2018,9,4,26.5,14.5,4.89,5.9,1001.4,90,10.0
2018,9,5,27.6,8.5,20.45,6.6,999.1,75,6.5
2018,9,6,27.6,0,16.31,3.7,1004.6,67,8.8
2018,9,7,27.5,0.0,9.72,5.4,1006.3,75,9.3
2018,9,8,28.8,0.0,21.32,5.3,1008.6,74,8.3
2018,9,9,28.3,0,18.90,4.9,1011.6,76,8.3
2018,9,10,25.5,38.5,13.69,3.6,1010.7,89,10.0
2018,9,11,21.4,4.0,7.59,3.7,1017.3,81,10.0
2018,9,12,21.0,0.0,12.30,2.9,1020.4,70,9.5
2018,9,13,22.4,0.0,14.51,2.1,1017.8,78,10.0
2018,9,14,21.9,7.5,7.29,2.0,1016.3,93,10.0
2018,9,15,20.5,14.5,4.15,1.5,1012.9,100,10.0
2018,9,16,23.1,0.0,14.44,1.8,1010.2,89,8.8
2018,9,17,24.7,26.0,15.91,2.3,1008.6,86,9.5
2018,9,18,23.3,40.5,18.31,2.7,1011.2,88,7.8
2018,9,19,22.2,0.0,19.51,2.8,1011.7,72,7.3
2018,9,20,19.9,40.5,4.98,2.1,1012.5,85,10.0
2018,9,21,17.7,36.0,2.27,3.5,1010.2,100,10.0
2018,9,22,21.5,0.0,8.47,1.2,1007.0,95,8.5
2018,9,23,24.5,0.0,15.45,2.3,1013.3,77,9.3
2018,9,24,24.4,1.5,11.64,2.0,1012.3,84,9.8
2018,9,25,21.3,14.5,3.21,2.5,1011.9,95,10.0
2018,9,26,17.7,38.5,3.59,2.5,1014.6,96,10.0
2018,9,27,15.9,19.0,3.54,2.9,1010.8,99,10.0
2018,9,28,19.7,0,20.77,2.1,1014.2,77,1.5
2018,9,29,18.8,9.5,4.69,2.1,1016.8,95,10.0
2018,9,30,20.4,34.0,5.96,3.5,1002.2,97,10.0
2018,10,1,26.1,18.0,19.84,6.1,991.5,62,6.5
2018,10,2,22.0,0,19.29,2.9,1009.7,56,3.3
2018,10,3,21.0,0,7.60,2.3,1017.2,77,8.3
2018,10,4,20.1,0.0,5.39,2.4,1023.3,78,10.0
2018,10,5,18.7,9.5,2.80,2.4,1022.9,95,10.0
2018,10,6,23.7,0,16.08,3.4,1012.5,89,7.3
2018,10,7,27.5,0,18.48,4.4,1005.2,65,2.8
2018,10,8,21.9,0.0,5.56,2.7,1011.8,73,9.0
2018,10,9,21.9,0,12.19,2.2,1012.8,76,5.8
2018,10,10,22.4,0.5,13.63,2.4,1012.8,79,9.0
2018,10,11,21.7,1.0,4.01,2.0,1010.7,93,10.0
2018,10,12,20.0,0.0,5.70,2.8,1014.0,77,10.0
2018,10,13,17.4,0.0,3.80,2.6,1020.6,65,10.0
2018,10,14,16.4,7.5,8.31,2.3,1018.0,85,9.8
2018,10,15,18.1,0.5,7.00,1.5,1015.8,81,10.0
2018,10,16,18.4,0.0,9.62,2.1,1010.9,79,9.0
2018,10,17,18.2,1.0,10.66,2.5,1008.6,77,9.5
