year,month,day,day_of_week,temperature,rain,solar,snow,wind,wind_dir,pressure,humidity,cloud
2018,3,16,friday,13.2,4.0,2.90,0,4.5,SSW,1009.7,79,10.0
2018,3,17,saturday,7.4,0,22.13,0,3.2,SE,1023.3,52,1.0
2018,3,18,sunday,11.3,0,12.22,0,2.9,S,1021.4,60,9.5
2018,3,19,monday,13.0,0.5,7.60,0,2.1,NW,1013.3,70,9.5
2018,3,20,tuesday,8.4,10.0,4.62,0,3.7,NE,1016.1,85,10.0
2018,3,21,wednesday,3.8,31.0,1.85,0,3.1,NNW,1015.4,88,10.0
2018,3,22,thursday,9.5,20.0,7.71,0,2.8,WNW,995.3,88,8.8
2018,3,23,friday,11.9,2.5,14.81,0,2.6,NNW,1008.8,62,9.3
2018,3,24,saturday,11.3,0.0,19.24,0,2.7,SE,1015.7,76,9.0
2018,3,25,sunday,13.0,0,22.65,0,2.7,S,1017.1,62,2.3
2018,3,26,monday,14.1,0,19.15,0,2.2,NW,1016.6,62,5.8
2018,3,27,tuesday,15.7,0,18.64,0,2.0,NNW,1015.5,65,8.0
2018,3,28,wednesday,17.2,0,21.05,0,2.5,SSE,1013.5,65,1.0
2018,3,29,thursday,18.1,0,21.58,0,2.4,NW,1011.3,60,1.5
2018,3,30,friday,13.8,0,23.10,0,4.0,SE,1018.1,36,2.0
2018,3,31,saturday,13.4,0,22.74,0,3.2,S,1019.8,51,0.3
2018,4,1,sunday,16.0,0,20.96,0,3.7,S,1014.4,65,5.0
2018,4,2,monday,17.9,0,19.87,0,2.6,SE,1013.9,70,3.0
2018,4,3,tuesday,17.9,0,19.73,0,2.3,SSE,1014.4,75,6.3
2018,4,4,wednesday,20.1,0,21.79,0,3.3,NNW,1009.1,68,0.5
2018,4,5,thursday,13.3,0.0,8.43,0,3.3,SE,1016.5,71,10.0
2018,4,6,friday,18.1,1.0,13.85,0,5.3,S,1004.2,82,10.0
2018,4,7,saturday,16.2,0.0,9.12,0,4.1,NNW,995.6,62,9.5
2018,4,8,sunday,11.9,0.0,20.22,0,2.0,N,1008.5,43,2.5
2018,4,9,monday,13.7,0,24.22,0,3.7,NW,1012.3,42,2.5
2018,4,10,tuesday,13.6,0,24.67,0,3.3,SE,1018.7,52,2.3
2018,4,11,wednesday,17.6,0.0,16.72,0,6.5,S,1009.5,65,9.5
2018,4,12,thursday,19.1,0,20.32,0,2.4,NNW,1006.4,58,9.8
2018,4,13,friday,15.5,0,25.23,0,3.9,NW,1017.2,34,0.5
2018,4,14,saturday,15.2,0.0,8.82,0,4.0,S,1015.5,67,9.5
2018,4,15,sunday,17.9,19.0,6.33,0,4.8,SSW,997.1,75,10.0
2018,4,16,monday,14.7,0,17.27,0,3.7,NNW,1012.7,48,10.0
2018,4,17,tuesday,12.7,2.5,4.42,0,2.3,NNW,1021.3,81,10.0
2018,4,18,wednesday,12.7,28.0,6.57,0,2.3,N,1013.4,94,7.8
2018,4,19,thursday,16.2,0,22.94,0,3.3,S,1013.5,77,2.0
2018,4,20,friday,18.7,0,25.15,0,3.0,NW,1014.8,61,2.5
2018,4,21,saturday,18.9,0,25.80,0,2.8,S,1016.8,65,0.0
2018,4,22,sunday,20.5,0,25.50,0,2.1,SSE,1014.4,67,1.5
2018,4,23,monday,16.5,0.0,6.17,0,3.0,E,1017.7,80,9.3
2018,4,24,tuesday,18.0,1.5,6.79,0,3.3,S,1010.9,84,10.0
2018,4,25,wednesday,19.0,57.0,8.52,0,3.5,S,998.6,95,10.0
2018,4,26,thursday,18.9,0.0,25.95,0,3.9,NNW,1006.9,55,7.8
2018,4,27,friday,18.5,0,13.57,0,2.9,S,1006.9,70,9.5
2018,4,28,saturday,20.1,0,27.31,0,4.4,S,1009.8,51,0.0
2018,4,29,sunday,20.1,0,26.17,0,4.4,S,1014.1,66,0.0
2018,4,30,monday,20.8,0,22.81,0,4.5,S,1012.9,65,6.3
2018,5,1,tuesday,22.3,0,25.73,0,2.9,SSE,1012.6,59,4.8
2018,5,2,wednesday,20.4,3.5,14.70,0,3.2,S,1009.7,79,10.0
2018,5,3,thursday,21.9,14.0,12.59,0,6.2,S,996.7,77,10.0
2018,5,4,friday,18.0,0.0,27.13,0,3.8,NE,1004.5,55,3.5
2018,5,5,saturday,18.3,0,27.54,0,3.3,S,1011.4,53,1.8
2018,5,6,sunday,21.0,0.0,24.88,0,4.5,S,1009.5,55,9.8
2018,5,7,monday,17.9,21.0,7.91,0,4.3,SSW,1004.0,83,10.0
2018,5,8,tuesday,12.9,10.5,2.45,0,3.1,NNE,1010.6,92,10.0
2018,5,9,wednesday,12.1,35.0,6.61,0,2.9,N,1013.0,90,10.0
2018,5,10,thursday,12.1,9.0,9.88,0,1.8,NNW,1015.1,84,6.3
2018,5,11,friday,16.4,0,26.73,0,3.7,S,1015.4,64,7.3
2018,5,12,saturday,18.8,0,22.85,0,2.8,SSE,1012.8,73,6.5
2018,5,13,sunday,17.9,49.0,6.62,0,3.4,SSW,1007.2,85,10.0
2018,5,14,monday,21.1,0.0,27.55,0,2.9,NNE,1003.3,55,3.0
2018,5,15,tuesday,22.3,0,27.43,0,3.6,S,1009.2,57,2.0
2018,5,16,wednesday,23.5,0,26.06,0,4.3,SSW,1008.2,59,5.8
2018,5,17,thursday,24.0,0.0,19.55,0,3.7,S,1003.9,71,9.0
