"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年03月08日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A1301","","A1303","","B1101","","#A06601","","#A06602","","#F01301","","#M0210101","","#M0210201",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_１５歳未満人口【人】","注釈","A1303_６５歳以上人口【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","#A06601_婚姻率（人口千人当たり）【‐】","注釈","#A06602_離婚率（人口千人当たり）【‐】","注釈","#F01301_完全失業率【％】","注釈","#M0210101_仕事の平均時間［有業者・男］【分】","注釈","#M0210201_仕事の平均時間［有業者・女］【分】","注釈"
"2017100000","2017年度","46000","鹿児島県","","1,626,000","","217,000","","501,000","","918,701","","4.39","","1.70","","***","","***","","***",""
"2017100000","2017年度","47000","沖縄県","","1,443,000","","247,000","","303,000","","228,098","","5.60","","2.41","","***","","***","","***",""
"2016100000","2016年度","01000","北海道","","5,352,000","","600,000","","1,602,000","","7,842,076","","4.60","","1.96","","***","","427","","289",""
"2016100000","2016年度","02000","青森県","","1,293,000","","145,000","","401,000","","964,556","","3.97","","1.67","","***","","416","","335",""
"2016100000","2016年度","03000","岩手県","","1,268,000","","147,000","","395,000","","1,527,501","","3.84","","1.48","","***","","413","","336",""
"2016100000","2016年度","04000","宮城県","","2,330,000","","285,000","","616,000","","728,222","","4.78","","1.62","","***","","403","","300",""
"2016100000","2016年度","05000","秋田県","","1,010,000","","104,000","","351,000","","1,163,752","","3.48","","1.38","","***","","399","","315",""
"2016100000","2016年度","06000","山形県","","1,113,000","","133,000","","351,000","","932,315","","3.85","","1.37","","***","","399","","329",""
"2016100000","2016年度","07000","福島県","","1,901,000","","225,000","","560,000","","1,378,374","","4.57","","1.72","","***","","421","","329",""
"2016100000","2016年度","08000","茨城県","","2,905,000","","361,000","","801,000","","609,712","","4.54","","1.66","","***","","405","","279",""
"2016100000","2016年度","09000","栃木県","","1,966,000","","249,000","","525,000","","640,809","","4.74","","1.74","","***","","409","","280",""
"2016100000","2016年度","10000","群馬県","","1,967,000","","247,000","","558,000","","636,228","","4.29","","1.65","","***","","422","","296",""
"2016100000","2016年度","11000","埼玉県","","7,289,000","","907,000","","1,857,000","","379,775","","4.69","","1.71","","***","","399","","264",""
"2016100000","2016年度","12000","千葉県","","6,236,000","","762,000","","1,655,000","","515,764","","4.75","","1.70","","***","","404","","272",""
"2016100000","2016年度","13000","東京都","","13,624,000","","1,535,000","","3,120,000","","219,100","","6.31","","1.72","","***","","389","","276",""
"2016100000","2016年度","14000","神奈川県","","9,145,000","","1,135,000","","2,232,000","","241,592","","5.11","","1.71","","***","","412","","273",""
"2016100000","2016年度","15000","新潟県","","2,286,000","","271,000","","700,000","","1,258,418","","4.07","","1.31","","***","","421","","311",""
"2016100000","2016年度","16000","富山県","","1,061,000","","127,000","","330,000","","424,761","","4.23","","1.29","","***","","411","","315",""
"2016100000","2016年度","17000","石川県","","1,151,000","","147,000","","327,000","","418,609","","4.45","","1.44","","***","","426","","294",""
"2016100000","2016年度","18000","福井県","","782,000","","102,000","","229,000","","419,049","","4.42","","1.43","","***","","422","","304",""
"2016100000","2016年度","19000","山梨県","","830,000","","101,000","","242,000","","446,527","","4.43","","1.65","","***","","403","","294",""
"2016100000","2016年度","20000","長野県","","2,088,000","","265,000","","641,000","","1,356,156","","4.29","","1.52","","***","","415","","311",""
"2016100000","2016年度","21000","岐阜県","","2,022,000","","263,000","","581,000","","1,062,129","","4.24","","1.51","","***","","416","","292",""
"2016100000","2016年度","22000","静岡県","","3,688,000","","472,000","","1,051,000","","777,743","","4.63","","1.69","","***","","411","","286",""
"2016100000","2016年度","23000","愛知県","","7,507,000","","1,018,000","","1,821,000","","517,290","","5.42","","1.66","","***","","414","","278",""
"2016100000","2016年度","24000","三重県","","1,808,000","","231,000","","516,000","","577,441","","4.52","","1.62","","***","","399","","282",""
"2016100000","2016年度","25000","滋賀県","","1,413,000","","202,000","","350,000","","401,738","","4.83","","1.56","","***","","405","","297",""
"2016100000","2016年度","26000","京都府","","2,605,000","","312,000","","733,000","","461,219","","4.66","","1.62","","***","","389","","287",""
"2016100000","2016年度","27000","大阪府","","8,833,000","","1,083,000","","2,366,000","","190,514","","5.23","","1.96","","***","","412","","282",""
"2016100000","2016年度","28000","兵庫県","","5,520,000","","702,000","","1,535,000","","840,093","","4.68","","1.69","","***","","424","","277",""
"2016100000","2016年度","29000","奈良県","","1,356,000","","166,000","","401,000","","369,094","","4.15","","1.61","","***","","406","","283",""
"2016100000","2016年度","30000","和歌山県","","954,000","","114,000","","302,000","","472,471","","4.26","","1.86","","***","","412","","282",""
"2016100000","2016年度","31000","鳥取県","","570,000","","73,000","","173,000","","350,713","","4.29","","1.64","","***","","423","","303",""
"2016100000","2016年度","32000","島根県","","690,000","","86,000","","228,000","","670,804","","3.99","","1.38","","***","","379","","305",""
"2016100000","2016年度","33000","岡山県","","1,915,000","","247,000","","560,000","","711,447","","4.66","","1.69","","***","","421","","288",""
"2016100000","2016年度","34000","広島県","","2,837,000","","372,000","","799,000","","847,947","","4.79","","1.65","","***","","401","","281",""
"2016100000","2016年度","35000","山口県","","1,394,000","","167,000","","458,000","","611,234","","4.24","","1.54","","***","","399","","277",""
"2016100000","2016年度","36000","徳島県","","750,000","","86,000","","238,000","","414,679","","4.24","","1.58","","***","","413","","293",""
"2016100000","2016年度","37000","香川県","","972,000","","122,000","","297,000","","187,673","","4.73","","1.66","","***","","422","","293",""
"2016100000","2016年度","38000","愛媛県","","1,375,000","","167,000","","432,000","","567,619","","4.26","","1.63","","***","","404","","287",""
"2016100000","2016年度","39000","高知県","","721,000","","82,000","","242,000","","710,393","","4.04","","1.70","","***","","391","","304",""
"2016100000","2016年度","40000","福岡県","","5,104,000","","677,000","","1,357,000","","498,640","","5.21","","1.91","","***","","425","","297",""
"2016100000","2016年度","41000","佐賀県","","828,000","","115,000","","236,000","","244,068","","4.50","","1.66","","***","","423","","317",""
"2016100000","2016年度","42000","長崎県","","1,367,000","","176,000","","417,000","","413,220","","4.40","","1.59","","***","","412","","307",""
"2016100000","2016年度","43000","熊本県","","1,774,000","","239,000","","523,000","","740,944","","4.50","","1.64","","***","","444","","321",""
"2016100000","2016年度","44000","大分県","","1,160,000","","145,000","","362,000","","634,074","","4.44","","1.72","","***","","411","","302",""
"2016100000","2016年度","45000","宮崎県","","1,096,000","","148,000","","333,000","","773,531","","4.65","","2.01","","***","","397","","310",""
"2016100000","2016年度","46000","鹿児島県","","1,637,000","","220,000","","493,000","","918,699","","4.57","","1.77","","***","","410","","297",""
"2016100000","2016年度","47000","沖縄県","","1,439,000","","248,000","","293,000","","228,114","","5.88","","2.57","","***","","424","","313",""
"2015100000","2015年度","01000","北海道","","5,381,733","","608,296","","1,558,387","","7,842,125","","4.73","","2.08","","4.6","","***","","***",""
"2015100000","2015年度","02000","青森県","","1,308,265","","148,208","","390,940","","964,559","","4.15","","1.73","","5.3","","***","","***",""
"2015100000","2015年度","03000","岩手県","","1,279,594","","150,992","","386,573","","1,527,501","","4.10","","1.53","","4.0","","***","","***",""
"2015100000","2015年度","04000","宮城県","","2,333,899","","286,003","","588,240","","728,222","","4.85","","1.71","","4.9","","***","","***",""
"2015100000","2015年度","05000","秋田県","","1,023,119","","106,041","","343,301","","1,163,754","","3.53","","1.50","","4.3","","***","","***",""
"2015100000","2015年度","06000","山形県","","1,123,891","","135,760","","344,353","","932,315","","4.02","","1.34","","3.6","","***","","***",""
"2015100000","2015年度","07000","福島県","","1,914,039","","228,887","","542,384","","1,378,374","","4.64","","1.69","","4.4","","***","","***",""
"2015100000","2015年度","08000","茨城県","","2,916,976","","364,351","","771,678","","609,706","","4.63","","1.78","","4.5","","***","","***",""
"2015100000","2015年度","09000","栃木県","","1,974,255","","252,836","","508,392","","640,809","","4.79","","1.72","","4.3","","***","","***",""
"2015100000","2015年度","10000","群馬県","","1,973,115","","250,884","","540,026","","636,228","","4.47","","1.76","","4.3","","***","","***",""
"2015100000","2015年度","11000","埼玉県","","7,266,534","","910,805","","1,788,735","","379,775","","4.78","","1.74","","4.3","","***","","***",""
"2015100000","2015年度","12000","千葉県","","6,222,666","","762,112","","1,584,419","","515,765","","4.85","","1.75","","4.1","","***","","***",""
"2015100000","2015年度","13000","東京都","","13,515,271","","1,518,130","","3,005,516","","219,093","","6.45","","1.79","","3.9","","***","","***",""
"2015100000","2015年度","14000","神奈川県","","9,126,214","","1,140,748","","2,158,157","","241,583","","5.29","","1.78","","3.9","","***","","***",""
"2015100000","2015年度","15000","新潟県","","2,304,264","","275,945","","685,085","","1,258,410","","4.09","","1.39","","3.7","","***","","***",""
"2015100000","2015年度","16000","富山県","","1,066,328","","128,848","","322,899","","424,761","","4.26","","1.39","","3.1","","***","","***",""
"2015100000","2015年度","17000","石川県","","1,154,008","","148,372","","317,151","","418,609","","4.51","","1.48","","3.4","","***","","***",""
"2015100000","2015年度","18000","福井県","","786,740","","102,986","","222,408","","419,049","","4.42","","1.52","","3.3","","***","","***",""
"2015100000","2015年度","19000","山梨県","","834,930","","102,270","","234,544","","446,527","","4.59","","1.73","","4.4","","***","","***",""
"2015100000","2015年度","20000","長野県","","2,098,804","","269,752","","626,085","","1,356,156","","4.58","","1.60","","3.4","","***","","***",""
"2015100000","2015年度","21000","岐阜県","","2,031,903","","266,998","","567,571","","1,062,129","","4.36","","1.53","","3.4","","***","","***",""
"2015100000","2015年度","22000","静岡県","","3,700,305","","478,084","","1,021,283","","777,742","","4.77","","1.76","","4.0","","***","","***",""
"2015100000","2015年度","23000","愛知県","","7,483,128","","1,022,532","","1,760,763","","517,248","","5.49","","1.75","","3.4","","***","","***",""
"2015100000","2015年度","24000","三重県","","1,815,865","","233,525","","501,046","","577,440","","4.68","","1.72","","3.4","","***","","***",""
"2015100000","2015年度","25000","滋賀県","","1,412,916","","203,450","","337,877","","401,738","","4.85","","1.64","","3.5","","***","","***",""
"2015100000","2015年度","26000","京都府","","2,610,353","","313,866","","703,419","","461,219","","4.77","","1.70","","4.4","","***","","***",""
"2015100000","2015年度","27000","大阪府","","8,839,469","","1,093,111","","2,278,324","","190,514","","5.28","","2.05","","5.3","","***","","***",""
"2015100000","2015年度","28000","兵庫県","","5,534,800","","706,871","","1,481,646","","840,096","","4.77","","1.77","","4.6","","***","","***",""
"2015100000","2015年度","29000","奈良県","","1,364,316","","168,970","","388,614","","369,094","","4.17","","1.69","","4.9","","***","","***",""
"2015100000","2015年度","30000","和歌山県","","963,579","","116,412","","296,239","","472,469","","4.49","","1.96","","4.5","","***","","***",""
"2015100000","2015年度","31000","鳥取県","","573,441","","73,685","","169,092","","350,705","","4.68","","1.73","","3.9","","***","","***",""
