"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年03月08日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A1301","","A1303","","B1101","","#A06601","","#A06602","","#F01301","","#M0210101","","#M0210201",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_１５歳未満人口【人】","注釈","A1303_６５歳以上人口【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","#A06601_婚姻率（人口千人当たり）【‐】","注釈","#A06602_離婚率（人口千人当たり）【‐】","注釈","#F01301_完全失業率【％】","注釈","#M0210101_仕事の平均時間［有業者・男］【分】","注釈","#M0210201_仕事の平均時間［有業者・女］【分】","注釈"
"2009100000","2009年度","24000","三重県","","1,864,000","","254,000","","445,000","","577,722","","5.21","","1.84","","***","","***","","***",""
"2009100000","2009年度","25000","滋賀県","","1,409,000","","210,000","","284,000","","401,736","","5.52","","1.75","","***","","***","","***",""
"2009100000","2009年度","26000","京都府","","2,637,000","","346,000","","606,000","","461,313","","5.17","","1.92","","***","","***","","***",""
"2009100000","2009年度","27000","大阪府","","8,855,000","","1,208,000","","1,938,000","","189,801","","5.84","","2.34","","***","","***","","***",""
"2009100000","2009年度","28000","兵庫県","","5,591,000","","771,000","","1,273,000","","839,589","","5.36","","1.93","","***","","***","","***",""
"2009100000","2009年度","29000","奈良県","","1,404,000","","185,000","","329,000","","369,109","","4.69","","1.86","","***","","***","","***",""
"2009100000","2009年度","30000","和歌山県","","1,008,000","","129,000","","268,000","","472,629","","4.67","","2.01","","***","","***","","***",""
"2009100000","2009年度","31000","鳥取県","","592,000","","76,000","","153,000","","350,726","","4.66","","1.94","","***","","***","","***",""
"2009100000","2009年度","32000","島根県","","721,000","","91,000","","209,000","","670,765","","4.47","","1.56","","***","","***","","***",""
"2009100000","2009年度","33000","岡山県","","1,949,000","","267,000","","483,000","","711,321","","5.17","","1.85","","***","","***","","***",""
"2009100000","2009年度","34000","広島県","","2,864,000","","391,000","","677,000","","847,927","","5.56","","1.92","","***","","***","","***",""
"2009100000","2009年度","35000","山口県","","1,459,000","","183,000","","400,000","","611,389","","4.80","","1.85","","***","","***","","***",""
"2009100000","2009年度","36000","徳島県","","790,000","","99,000","","210,000","","414,667","","4.67","","1.92","","***","","***","","***",""
"2009100000","2009年度","37000","香川県","","999,000","","135,000","","254,000","","187,653","","5.15","","1.96","","***","","***","","***",""
"2009100000","2009年度","38000","愛媛県","","1,438,000","","184,000","","376,000","","567,800","","4.83","","1.96","","***","","***","","***",""
"2009100000","2009年度","39000","高知県","","769,000","","93,000","","218,000","","710,516","","4.30","","2.08","","***","","***","","***",""
"2009100000","2009年度","40000","福岡県","","5,064,000","","702,000","","1,111,000","","497,720","","5.81","","2.20","","***","","***","","***",""
"2009100000","2009年度","41000","佐賀県","","853,000","","121,000","","207,000","","243,965","","4.85","","1.75","","***","","***","","***",""
"2009100000","2009年度","42000","長崎県","","1,434,000","","189,000","","368,000","","410,505","","4.78","","1.79","","***","","***","","***",""
"2009100000","2009年度","43000","熊本県","","1,821,000","","251,000","","463,000","","740,584","","5.00","","1.89","","***","","***","","***",""
"2009100000","2009年度","44000","大分県","","1,200,000","","158,000","","316,000","","633,958","","5.11","","1.98","","***","","***","","***",""
"2009100000","2009年度","45000","宮崎県","","1,138,000","","154,000","","290,000","","773,483","","5.20","","2.18","","***","","***","","***",""
"2009100000","2009年度","46000","鹿児島県","","1,712,000","","236,000","","450,000","","918,875","","4.95","","1.94","","***","","***","","***",""
"2009100000","2009年度","47000","沖縄県","","1,385,000","","245,000","","242,000","","227,601","","6.49","","2.58","","***","","***","","***",""
"2008100000","2008年度","01000","北海道","","5,548,000","","675,000","","1,305,000","","7,842,044","","5.25","","2.28","","***","","***","","***",""
"2008100000","2008年度","02000","青森県","","1,395,000","","179,000","","340,000","","960,711","","4.59","","2.03","","***","","***","","***",""
"2008100000","2008年度","03000","岩手県","","1,352,000","","174,000","","355,000","","1,527,886","","4.45","","1.72","","***","","***","","***",""
"2008100000","2008年度","04000","宮城県","","2,349,000","","317,000","","504,000","","728,575","","5.43","","1.94","","***","","***","","***",""
"2008100000","2008年度","05000","秋田県","","1,109,000","","128,000","","315,000","","1,161,228","","4.11","","1.64","","***","","***","","***",""
"2008100000","2008年度","06000","山形県","","1,188,000","","152,000","","317,000","","932,346","","4.55","","1.69","","***","","***","","***",""
"2008100000","2008年度","07000","福島県","","2,054,000","","288,000","","496,000","","1,378,275","","4.99","","1.94","","***","","***","","***",""
"2008100000","2008年度","08000","茨城県","","2,971,000","","404,000","","632,000","","609,569","","5.34","","1.97","","***","","***","","***",""
"2008100000","2008年度","09000","栃木県","","2,015,000","","276,000","","424,000","","640,828","","5.56","","1.97","","***","","***","","***",""
"2008100000","2008年度","10000","群馬県","","2,017,000","","279,000","","452,000","","636,316","","5.15","","1.90","","***","","***","","***",""
"2008100000","2008年度","11000","埼玉県","","7,136,000","","975,000","","1,361,000","","379,730","","5.69","","1.98","","***","","***","","***",""
"2008100000","2008年度","12000","千葉県","","6,153,000","","820,000","","1,233,000","","515,670","","5.88","","1.98","","***","","***","","***",""
"2008100000","2008年度","13000","東京都","","12,973,000","","1,517,000","","2,599,000","","218,750","","7.03","","2.03","","***","","***","","***",""
"2008100000","2008年度","14000","神奈川県","","8,965,000","","1,202,000","","1,715,000","","241,584","","6.34","","2.03","","***","","***","","***",""
"2008100000","2008年度","15000","新潟県","","2,396,000","","308,000","","611,000","","1,258,348","","4.75","","1.47","","***","","***","","***",""
"2008100000","2008年度","16000","富山県","","1,103,000","","143,000","","278,000","","424,755","","4.78","","1.52","","***","","***","","***",""
"2008100000","2008年度","17000","石川県","","1,172,000","","161,000","","267,000","","418,554","","5.24","","1.62","","***","","***","","***",""
"2008100000","2008年度","18000","福井県","","814,000","","116,000","","197,000","","418,954","","5.07","","1.59","","***","","***","","***",""
"2008100000","2008年度","19000","山梨県","","871,000","","120,000","","206,000","","446,537","","5.04","","2.00","","***","","***","","***",""
"2008100000","2008年度","20000","長野県","","2,173,000","","297,000","","554,000","","1,356,223","","5.07","","1.73","","***","","***","","***",""
"2008100000","2008年度","21000","岐阜県","","2,100,000","","294,000","","481,000","","1,062,117","","5.20","","1.63","","***","","***","","***",""
"2008100000","2008年度","22000","静岡県","","3,793,000","","516,000","","860,000","","778,033","","5.59","","1.83","","***","","***","","***",""
"2008100000","2008年度","23000","愛知県","","7,399,000","","1,088,000","","1,419,000","","516,457","","6.37","","1.83","","***","","***","","***",""
"2008100000","2008年度","24000","三重県","","1,871,000","","258,000","","434,000","","577,719","","5.31","","1.82","","***","","***","","***",""
"2008100000","2008年度","25000","滋賀県","","1,405,000","","212,000","","276,000","","401,736","","5.75","","1.73","","***","","***","","***",""
"2008100000","2008年度","26000","京都府","","2,640,000","","347,000","","588,000","","461,301","","5.39","","1.85","","***","","***","","***",""
"2008100000","2008年度","27000","大阪府","","8,847,000","","1,213,000","","1,868,000","","189,785","","5.99","","2.32","","***","","***","","***",""
"2008100000","2008年度","28000","兵庫県","","5,592,000","","778,000","","1,233,000","","839,584","","5.45","","1.91","","***","","***","","***",""
"2008100000","2008年度","29000","奈良県","","1,407,000","","188,000","","318,000","","369,109","","4.72","","1.81","","***","","***","","***",""
"2008100000","2008年度","30000","和歌山県","","1,014,000","","132,000","","264,000","","472,629","","4.83","","2.14","","***","","***","","***",""
"2008100000","2008年度","31000","鳥取県","","596,000","","78,000","","152,000","","350,726","","4.84","","1.80","","***","","***","","***",""
"2008100000","2008年度","32000","島根県","","727,000","","93,000","","207,000","","670,765","","4.27","","1.54","","***","","***","","***",""
"2008100000","2008年度","33000","岡山県","","1,953,000","","270,000","","473,000","","711,321","","5.29","","1.86","","***","","***","","***",""
"2008100000","2008年度","34000","広島県","","2,870,000","","394,000","","660,000","","847,905","","5.70","","1.86","","***","","***","","***",""
"2008100000","2008年度","35000","山口県","","1,466,000","","186,000","","394,000","","611,381","","4.89","","1.78","","***","","***","","***",""
"2008100000","2008年度","36000","徳島県","","795,000","","100,000","","207,000","","414,655","","4.75","","1.82","","***","","***","","***",""
"2008100000","2008年度","37000","香川県","","1,003,000","","137,000","","249,000","","187,651","","5.22","","1.92","","***","","***","","***",""
"2008100000","2008年度","38000","愛媛県","","1,445,000","","188,000","","370,000","","567,773","","4.97","","1.95","","***","","***","","***",""
"2008100000","2008年度","39000","高知県","","775,000","","95,000","","215,000","","710,513","","4.60","","2.16","","***","","***","","***",""
"2008100000","2008年度","40000","福岡県","","5,062,000","","702,000","","1,084,000","","497,697","","5.93","","2.18","","***","","***","","***",""
"2008100000","2008年度","41000","佐賀県","","856,000","","124,000","","205,000","","243,960","","4.92","","1.71","","***","","***","","***",""
"2008100000","2008年度","42000","長崎県","","1,443,000","","195,000","","363,000","","410,448","","4.84","","1.75","","***","","***","","***",""
"2008100000","2008年度","43000","熊本県","","1,826,000","","254,000","","457,000","","740,580","","5.24","","1.91","","***","","***","","***",""
"2008100000","2008年度","44000","大分県","","1,204,000","","160,000","","311,000","","633,954","","5.15","","1.93","","***","","***","","***",""
"2008100000","2008年度","45000","宮崎県","","1,141,000","","157,000","","286,000","","773,480","","5.47","","2.30","","***","","***","","***",""
"2008100000","2008年度","46000","鹿児島県","","1,721,000","","239,000","","447,000","","918,867","","5.11","","2.00","","***","","***","","***",""
"2008100000","2008年度","47000","沖縄県","","1,378,000","","246,000","","237,000","","227,591","","6.46","","2.59","","***","","***","","***",""
"2007100000","2007年度","01000","北海道","","5,579,000","","689,000","","1,274,000","","7,842,024","","5.17","","2.32","","***","","***","","***",""
"2007100000","2007年度","02000","青森県","","1,409,000","","185,000","","336,000","","960,705","","4.55","","2.14","","***","","***","","***",""
"2007100000","2007年度","03000","岩手県","","1,364,000","","179,000","","351,000","","1,527,885","","4.66","","1.69","","***","","***","","***",""
"2007100000","2007年度","04000","宮城県","","2,354,000","","319,000","","493,000","","728,574","","5.45","","1.98","","***","","***","","***",""
"2007100000","2007年度","05000","秋田県","","1,121,000","","132,000","","314,000","","1,161,222","","4.00","","1.69","","***","","***","","***",""
"2007100000","2007年度","06000","山形県","","1,198,000","","157,000","","315,000","","932,346","","4.56","","1.66","","***","","***","","***",""
"2007100000","2007年度","07000","福島県","","2,067,000","","294,000","","490,000","","1,378,275","","4.92","","2.01","","***","","***","","***",""
"2007100000","2007年度","08000","茨城県","","2,973,000","","410,000","","614,000","","609,569","","5.24","","1.96","","***","","***","","***",""
"2007100000","2007年度","09000","栃木県","","2,016,000","","279,000","","413,000","","640,828","","5.51","","2.00","","***","","***","","***",""
"2007100000","2007年度","10000","群馬県","","2,020,000","","283,000","","441,000","","636,316","","5.13","","1.94","","***","","***","","***",""
"2007100000","2007年度","11000","埼玉県","","7,106,000","","978,000","","1,294,000","","379,730","","5.67","","2.00","","***","","***","","***",""
"2007100000","2007年度","12000","千葉県","","6,119,000","","819,000","","1,176,000","","515,670","","5.84","","2.02","","***","","***","","***",""
"2007100000","2007年度","13000","東京都","","12,848,000","","1,494,000","","2,509,000","","218,743","","6.95","","2.07","","***","","***","","***",""
"2007100000","2007年度","14000","神奈川県","","8,912,000","","1,199,000","","1,641,000","","241,584","","6.34","","2.05","","***","","***","","***",""
"2007100000","2007年度","15000","新潟県","","2,408,000","","315,000","","602,000","","1,258,347","","4.65","","1.46","","***","","***","","***",""
"2007100000","2007年度","16000","富山県","","1,107,000","","145,000","","272,000","","424,755","","4.68","","1.51","","***","","***","","***",""
"2007100000","2007年度","17000","石川県","","1,173,000","","163,000","","261,000","","418,548","","5.11","","1.61","","***","","***","","***",""
"2007100000","2007年度","18000","福井県","","817,000","","118,000","","193,000","","418,928","","5.05","","1.63","","***","","***","","***",""
"2007100000","2007年度","19000","山梨県","","877,000","","122,000","","202,000","","446,537","","5.08","","1.96","","***","","***","","***",""
"2007100000","2007年度","20000","長野県","","2,182,000","","303,000","","545,000","","1,356,223","","5.11","","1.80","","***","","***","","***",""
"2007100000","2007年度","21000","岐阜県","","2,104,000","","298,000","","469,000","","1,062,117","","5.08","","1.69","","***","","***","","***",""
"2007100000","2007年度","22000","静岡県","","3,796,000","","523,000","","835,000","","778,012","","5.57","","1.90","","***","","***","","***",""
"2007100000","2007年度","23000","愛知県","","7,357,000","","1,083,000","","1,368,000","","516,457","","6.38","","1.87","","***","","***","","***",""
"2007100000","2007年度","24000","三重県","","1,873,000","","261,000","","425,000","","577,717","","5.30","","1.80","","***","","***","","***",""
"2007100000","2007年度","25000","滋賀県","","1,398,000","","212,000","","268,000","","401,736","","5.64","","1.78","","***","","***","","***",""
"2007100000","2007年度","26000","京都府","","2,643,000","","348,000","","571,000","","461,300","","5.29","","1.88","","***","","***","","***",""
"2007100000","2007年度","27000","大阪府","","8,839,000","","1,215,000","","1,803,000","","189,772","","5.88","","2.30","","***","","***","","***",""
"2007100000","2007年度","28000","兵庫県","","5,593,000","","783,000","","1,197,000","","839,561","","5.44","","1.93","","***","","***","","***",""
"2007100000","2007年度","29000","奈良県","","1,413,000","","192,000","","307,000","","369,109","","4.89","","1.83","","***","","***","","***",""
"2007100000","2007年度","30000","和歌山県","","1,021,000","","135,000","","260,000","","472,628","","4.86","","2.18","","***","","***","","***",""
"2007100000","2007年度","31000","鳥取県","","601,000","","80,000","","150,000","","350,726","","4.79","","1.95","","***","","***","","***",""
"2007100000","2007年度","32000","島根県","","733,000","","95,000","","206,000","","670,755","","4.37","","1.53","","***","","***","","***",""
"2007100000","2007年度","33000","岡山県","","1,956,000","","272,000","","463,000","","711,320","","5.18","","1.87","","***","","***","","***",""
"2007100000","2007年度","34000","広島県","","2,874,000","","398,000","","643,000","","847,903","","5.61","","1.92","","***","","***","","***",""
"2007100000","2007年度","35000","山口県","","1,476,000","","190,000","","389,000","","611,273","","4.92","","1.82","","***","","***","","***",""
"2007100000","2007年度","36000","徳島県","","800,000","","102,000","","204,000","","414,590","","4.69","","1.91","","***","","***","","***",""
"2007100000","2007年度","37000","香川県","","1,006,000","","137,000","","245,000","","187,651","","5.22","","1.98","","***","","***","","***",""
"2007100000","2007年度","38000","愛媛県","","1,453,000","","191,000","","366,000","","567,755","","5.03","","1.99","","***","","***","","***",""
"2007100000","2007年度","39000","高知県","","783,000","","97,000","","213,000","","710,504","","4.53","","2.12","","***","","***","","***",""
"2007100000","2007年度","40000","福岡県","","5,061,000","","701,000","","1,062,000","","497,659","","5.83","","2.20","","***","","***","","***",""
"2007100000","2007年度","41000","佐賀県","","860,000","","126,000","","203,000","","243,958","","4.90","","1.79","","***","","***","","***",""
"2007100000","2007年度","42000","長崎県","","1,455,000","","202,000","","360,000","","409,555","","4.79","","1.88","","***","","***","","***",""
"2007100000","2007年度","43000","熊本県","","1,832,000","","257,000","","452,000","","740,569","","5.16","","1.95","","***","","***","","***",""
"2007100000","2007年度","44000","大分県","","1,206,000","","161,000","","306,000","","633,934","","5.23","","2.00","","***","","***","","***",""
"2007100000","2007年度","45000","宮崎県","","1,146,000","","161,000","","282,000","","773,478","","5.45","","2.27","","***","","***","","***",""
"2007100000","2007年度","46000","鹿児島県","","1,733,000","","243,000","","444,000","","918,841","","5.04","","1.92","","***","","***","","***",""
"2007100000","2007年度","47000","沖縄県","","1,374,000","","248,000","","232,000","","227,571","","6.27","","2.69","","***","","***","","***",""
"2006100000","2006年度","01000","北海道","","5,605,000","","704,000","","1,241,000","","7,842,006","","5.39","","2.35","","***","","437","","304",""
"2006100000","2006年度","02000","青森県","","1,424,000","","192,000","","331,000","","960,704","","4.66","","2.14","","***","","442","","357",""
"2006100000","2006年度","03000","岩手県","","1,375,000","","185,000","","346,000","","1,527,877","","4.70","","1.74","","***","","434","","338",""
"2006100000","2006年度","04000","宮城県","","2,358,000","","323,000","","482,000","","728,573","","5.53","","2.02","","***","","420","","320",""
"2006100000","2006年度","05000","秋田県","","1,134,000","","138,000","","311,000","","1,161,222","","4.22","","1.67","","***","","426","","324",""
"2006100000","2006年度","06000","山形県","","1,207,000","","162,000","","313,000","","932,344","","4.69","","1.69","","***","","408","","329",""
"2006100000","2006年度","07000","福島県","","2,080,000","","301,000","","482,000","","1,378,275","","5.05","","2.00","","***","","430","","318",""
"2006100000","2006年度","08000","茨城県","","2,974,000","","416,000","","595,000","","609,569","","5.39","","1.98","","***","","416","","289",""
"2006100000","2006年度","09000","栃木県","","2,016,000","","282,000","","402,000","","640,828","","5.62","","2.03","","***","","418","","312",""
"2006100000","2006年度","10000","群馬県","","2,022,000","","288,000","","429,000","","636,316","","5.38","","1.93","","***","","417","","294",""
"2006100000","2006年度","11000","埼玉県","","7,079,000","","983,000","","1,225,000","","379,730","","5.78","","1.99","","***","","415","","288",""
"2006100000","2006年度","12000","千葉県","","6,084,000","","820,000","","1,118,000","","515,668","","5.98","","2.04","","***","","412","","285",""
"2006100000","2006年度","13000","東京都","","12,704,000","","1,467,000","","2,415,000","","218,727","","7.04","","2.07","","***","","405","","276",""
"2006100000","2006年度","14000","神奈川県","","8,846,000","","1,193,000","","1,561,000","","241,584","","6.45","","2.09","","***","","414","","300",""
"2006100000","2006年度","15000","新潟県","","2,420,000","","323,000","","592,000","","1,258,346","","4.73","","1.51","","***","","410","","314",""
"2006100000","2006年度","16000","富山県","","1,110,000","","148,000","","265,000","","424,740","","4.81","","1.59","","***","","430","","317",""
"2006100000","2006年度","17000","石川県","","1,173,000","","164,000","","253,000","","418,547","","5.34","","1.71","","***","","445","","316",""
"2006100000","2006年度","18000","福井県","","820,000","","119,000","","189,000","","418,927","","5.15","","1.64","","***","","439","","320",""
"2006100000","2006年度","19000","山梨県","","880,000","","125,000","","198,000","","446,537","","5.21","","1.94","","***","","421","","299",""
"2006100000","2006年度","20000","長野県","","2,189,000","","310,000","","533,000","","1,356,223","","5.37","","1.77","","***","","425","","311",""
"2006100000","2006年度","21000","岐阜県","","2,105,000","","302,000","","455,000","","1,062,117","","5.12","","1.64","","***","","429","","310",""
"2006100000","2006年度","22000","静岡県","","3,795,000","","530,000","","808,000","","778,009","","5.71","","1.92","","***","","417","","305",""
"2006100000","2006年度","23000","愛知県","","7,307,000","","1,079,000","","1,311,000","","516,406","","6.35","","1.90","","***","","439","","284",""
"2006100000","2006年度","24000","三重県","","1,872,000","","264,000","","413,000","","577,687","","5.28","","1.87","","***","","422","","301",""
"2006100000","2006年度","25000","滋賀県","","1,390,000","","213,000","","258,000","","401,736","","5.54","","1.77","","***","","429","","279",""
"2006100000","2006年度","26000","京都府","","2,646,000","","348,000","","552,000","","461,300","","5.47","","1.92","","***","","424","","247",""
"2006100000","2006年度","27000","大阪府","","8,828,000","","1,218,000","","1,725,000","","189,683","","6.02","","2.32","","***","","399","","298",""
"2006100000","2006年度","28000","兵庫県","","5,592,000","","790,000","","1,155,000","","839,547","","5.55","","1.95","","***","","412","","286",""
"2006100000","2006年度","29000","奈良県","","1,417,000","","194,000","","295,000","","369,109","","4.94","","1.80","","***","","431","","280",""
"2006100000","2006年度","30000","和歌山県","","1,029,000","","139,000","","255,000","","472,612","","4.86","","2.20","","***","","420","","293",""
"2006100000","2006年度","31000","鳥取県","","604,000","","83,000","","149,000","","350,726","","4.94","","1.99","","***","","427","","309",""
"2006100000","2006年度","32000","島根県","","737,000","","98,000","","203,000","","670,734","","4.48","","1.63","","***","","413","","308",""
"2006100000","2006年度","33000","岡山県","","1,956,000","","274,000","","452,000","","711,300","","5.26","","1.91","","***","","424","","311",""
"2006100000","2006年度","34000","広島県","","2,875,000","","401,000","","623,000","","847,852","","5.64","","1.91","","***","","437","","309",""
"2006100000","2006年度","35000","山口県","","1,484,000","","193,000","","382,000","","611,222","","4.86","","1.84","","***","","435","","297",""
"2006100000","2006年度","36000","徳島県","","806,000","","104,000","","201,000","","414,569","","4.53","","1.93","","***","","407","","317",""
"2006100000","2006年度","37000","香川県","","1,009,000","","138,000","","241,000","","187,647","","5.24","","2.02","","***","","438","","312",""
"2006100000","2006年度","38000","愛媛県","","1,460,000","","196,000","","360,000","","567,738","","5.11","","2.09","","***","","417","","275",""
"2006100000","2006年度","39000","高知県","","790,000","","100,000","","210,000","","710,501","","4.57","","2.18","","***","","404","","324",""
"2006100000","2006年度","40000","福岡県","","5,057,000","","702,000","","1,033,000","","497,617","","5.93","","2.23","","***","","440","","323",""
"2006100000","2006年度","41000","佐賀県","","863,000","","129,000","","200,000","","243,958","","4.95","","1.92","","***","","453","","321",""
"2006100000","2006年度","42000","長崎県","","1,467,000","","209,000","","355,000","","409,522","","4.78","","1.99","","***","","434","","330",""
"2006100000","2006年度","43000","熊本県","","1,838,000","","261,000","","445,000","","740,521","","5.07","","1.98","","***","","423","","325",""
"2006100000","2006年度","44000","大分県","","1,207,000","","163,000","","300,000","","633,933","","5.14","","2.05","","***","","413","","312",""
"2006100000","2006年度","45000","宮崎県","","1,150,000","","165,000","","277,000","","773,478","","5.40","","2.33","","***","","426","","324",""
"2006100000","2006年度","46000","鹿児島県","","1,744,000","","248,000","","440,000","","918,780","","5.23","","2.05","","***","","438","","313",""
"2006100000","2006年度","47000","沖縄県","","1,369,000","","251,000","","226,000","","227,528","","6.47","","2.67","","***","","434","","341",""
"2005100000","2005年度","01000","北海道","","5,627,737","","719,057","","1,205,692","","7,841,959","","5.28","","2.42","","6.5","","***","","***",""
"2005100000","2005年度","02000","青森県","","1,436,657","","198,959","","326,562","","960,688","","4.58","","2.28","","8.4","","***","","***",""
"2005100000","2005年度","03000","岩手県","","1,385,041","","190,578","","339,957","","1,527,871","","4.65","","1.81","","6.2","","***","","***",""
"2005100000","2005年度","04000","宮城県","","2,360,218","","325,829","","470,512","","728,560","","5.43","","2.04","","6.9","","***","","***",""
"2005100000","2005年度","05000","秋田県","","1,145,501","","142,507","","308,193","","1,161,222","","4.26","","1.62","","6.1","","***","","***",""
"2005100000","2005年度","06000","山形県","","1,216,181","","166,653","","309,913","","932,339","","4.71","","1.68","","4.8","","***","","***",""
"2005100000","2005年度","07000","福島県","","2,091,319","","307,294","","474,860","","1,378,275","","5.07","","2.09","","6.0","","***","","***",""
"2005100000","2005年度","08000","茨城県","","2,975,167","","422,913","","576,272","","609,568","","5.22","","1.96","","5.9","","***","","***",""
"2005100000","2005年度","09000","栃木県","","2,016,631","","285,245","","390,896","","640,828","","5.69","","2.01","","5.4","","***","","***",""
"2005100000","2005年度","10000","群馬県","","2,024,135","","291,995","","416,909","","636,316","","5.24","","1.95","","5.7","","***","","***",""
"2005100000","2005年度","11000","埼玉県","","7,054,243","","986,361","","1,157,006","","379,730","","5.74","","2.06","","5.7","","***","","***",""
"2005100000","2005年度","12000","千葉県","","6,056,462","","819,348","","1,060,343","","515,668","","5.86","","2.08","","5.6","","***","","***",""
"2005100000","2005年度","13000","東京都","","12,576,601","","1,424,667","","2,295,527","","218,696","","6.79","","2.15","","5.6","","***","","***",""
"2005100000","2005年度","14000","神奈川県","","8,791,597","","1,184,631","","1,480,262","","241,584","","6.38","","2.11","","5.5","","***","","***",""
"2005100000","2005年度","15000","新潟県","","2,431,459","","330,302","","580,739","","1,258,332","","4.72","","1.48","","4.8","","***","","***",""
"2005100000","2005年度","16000","富山県","","1,111,729","","149,545","","258,317","","424,739","","4.82","","1.56","","4.4","","***","","***",""
"2005100000","2005年度","17000","石川県","","1,174,026","","166,175","","245,739","","418,546","","5.15","","1.62","","4.7","","***","","***",""
"2005100000","2005年度","18000","福井県","","821,592","","120,745","","185,501","","418,925","","5.31","","1.70","","4.2","","***","","***",""
"2005100000","2005年度","19000","山梨県","","884,515","","127,627","","193,580","","446,537","","5.12","","1.97","","5.3","","***","","***",""
"2005100000","2005年度","20000","長野県","","2,196,114","","316,368","","521,984","","1,356,223","","5.30","","1.80","","4.6","","***","","***",""
"2005100000","2005年度","21000","岐阜県","","2,107,226","","305,845","","442,124","","1,062,117","","4.99","","1.69","","4.8","","***","","***",""
"2005100000","2005年度","22000","静岡県","","3,792,377","","536,799","","779,193","","778,003","","5.55","","1.97","","4.6","","***","","***",""
"2005100000","2005年度","23000","愛知県","","7,254,704","","1,069,498","","1,248,562","","516,402","","6.06","","1.93","","4.6","","***","","***",""
"2005100000","2005年度","24000","三重県","","1,866,963","","266,741","","400,647","","577,668","","5.16","","1.98","","4.7","","***","","***",""
"2005100000","2005年度","25000","滋賀県","","1,380,361","","213,147","","249,418","","401,736","","5.60","","1.79","","4.7","","***","","***",""
"2005100000","2005年度","26000","京都府","","2,647,660","","345,071","","530,350","","461,300","","5.30","","1.93","","6.0","","***","","***",""
"2005100000","2005年度","27000","大阪府","","8,817,166","","1,211,257","","1,634,218","","189,431","","5.87","","2.38","","8.6","","***","","***",""
"2005100000","2005年度","28000","兵庫県","","5,590,601","","793,885","","1,108,564","","839,492","","5.41","","2.03","","6.5","","***","","***",""
"2005100000","2005年度","29000","奈良県","","1,421,310","","197,136","","283,528","","369,109","","4.87","","1.83","","6.6","","***","","***",""
"2005100000","2005年度","30000","和歌山県","","1,035,969","","142,670","","249,473","","472,608","","4.78","","2.11","","6.3","","***","","***",""
"2005100000","2005年度","31000","鳥取県","","607,012","","84,823","","146,113","","350,725","","4.96","","1.96","","5.5","","***","","***",""
"2005100000","2005年度","32000","島根県","","742,223","","100,542","","201,103","","670,733","","4.51","","1.51","","4.4","","***","","***",""
"2005100000","2005年度","33000","岡山県","","1,957,264","","275,743","","438,054","","711,273","","5.16","","1.90","","5.3","","***","","***",""
"2005100000","2005年度","34000","広島県","","2,876,642","","403,271","","600,545","","847,792","","5.47","","1.95","","5.0","","***","","***",""
"2005100000","2005年度","35000","山口県","","1,492,606","","196,729","","373,346","","611,191","","4.89","","1.91","","5.1","","***","","***",""
"2005100000","2005年度","36000","徳島県","","809,950","","105,814","","197,313","","414,533","","4.49","","1.95","","7.3","","***","","***",""
"2005100000","2005年度","37000","香川県","","1,012,400","","139,505","","235,508","","187,641","","5.19","","2.00","","6.1","","***","","***",""
"2005100000","2005年度","38000","愛媛県","","1,467,815","","200,270","","351,990","","567,712","","4.94","","2.07","","6.4","","***","","***",""
"2005100000","2005年度","39000","高知県","","796,292","","102,421","","206,375","","710,501","","4.65","","2.24","","7.9","","***","","***",""
"2005100000","2005年度","40000","福岡県","","5,049,908","","701,195","","997,798","","497,612","","5.69","","2.29","","7.4","","***","","***",""
"2005100000","2005年度","41000","佐賀県","","866,369","","131,969","","196,108","","243,958","","4.80","","2.03","","5.7","","***","","***",""
"2005100000","2005年度","42000","長崎県","","1,478,632","","215,987","","348,820","","409,476","","4.74","","2.01","","6.5","","***","","***",""
"2005100000","2005年度","43000","熊本県","","1,842,233","","264,013","","437,244","","740,483","","5.08","","2.02","","5.9","","***","","***",""
"2005100000","2005年度","44000","大分県","","1,209,571","","164,541","","292,805","","633,932","","5.04","","1.97","","6.1","","***","","***",""
"2005100000","2005年度","45000","宮崎県","","1,153,042","","169,075","","270,586","","773,477","","5.22","","2.31","","6.1","","***","","***",""
"2005100000","2005年度","46000","鹿児島県","","1,753,179","","252,285","","434,559","","918,769","","4.99","","2.04","","6.9","","***","","***",""
"2005100000","2005年度","47000","沖縄県","","1,361,594","","254,203","","218,897","","227,459","","6.47","","2.69","","11.9","","***","","***",""
"2004100000","2004年度","01000","北海道","","5,650,000","","732,000","","1,175,000","","7,841,919","","5.44","","2.58","","***","","***","","***",""
"2004100000","2004年度","02000","青森県","","1,448,000","","201,000","","315,000","","960,683","","4.78","","2.37","","***","","***","","***",""
"2004100000","2004年度","03000","岩手県","","1,395,000","","194,000","","333,000","","1,527,868","","4.68","","1.90","","***","","***","","***",""
"2004100000","2004年度","04000","宮城県","","2,366,000","","330,000","","458,000","","728,553","","5.55","","2.12","","***","","***","","***",""
